hwd;pronSampa;ipa
avallone;{ v @ l @U n;ævəloʊn
findler;f I n d l 3:r;fɪndlɜ:r
ahrendt;A r\ i n t;ɑɹint
gyohten;g j @U t @ n;gjoʊtən
burley;b 3:r l i:;bɜ:rliː
minutemen;m I n @ t m E n;mɪnətmɛn
herrle;h E r\ @ l;hɛɹəl
tonsils;t A n s @ l z;tɑnsəlz
omitted;@U m I 4 @ d;oʊmɪɾəd
gnashing;n { S i N;næʃiŋ
fitzer;f I t s 3:r;fɪtsɜ:r
capricious;k @ p r\ I S @ s;kəpɹɪʃəs
falgoust;f A l g u s t;fɑlgust
subordinates;s @ b O: r\ d @ n eI t s;səbOːɹdən?ts
prison;p r\ I z @ n;pɹɪzən
ference;f I r\ @ n s;fɪɹəns
oliver;A l @ v 3:r;ɑləvɜ:r
carriero;k A r\ I r\ @U;kɑɹɪɹoʊ
verba;v E r\ b @;vɛɹbə
frailties;f r\ eI l t i: z;fɹ?ltiːz
croc;k r\ A k;kɹɑk
digesting;d aI dZ E s t i N;d??ɛstiŋ
ohba;@U b @;oʊbə
nicholas'(2);n I k l @ s;nɪkləs
promised;p r\ A m @ s t;pɹɑməst
purveyor;p 3:r v eI 3:r;pɜ:rv?ɜ:r
momma;m A m @;mɑmə
estimable;E s t @ m @ b @ l;ɛstəməbəl
josie;dZ @U z i:;?oʊziː
vitello;v i t E l @U;vitɛloʊ
gari;g A r\ i:;gɑɹiː
crowing;k r\ @U i N;kɹoʊiŋ
privatizing;p r\ aI v @ t aI z i N;pɹ?vət?ziŋ
shake;S eI k;ʃ?k
alienates;eI l i: @ n eI t s;?liːən?ts
tunisian;t u n i: Z @ n;tuniːʒən
dynamo;d aI n @ m @U;d?nəmoʊ
nemec;n E m i k;nɛmik
bled;b l E d;blɛd
yasuhiro;j A s u h i: r\ @U;jɑsuhiːɹoʊ
oriental;O: r\ i: E n t @ l;Oːɹiːɛntəl
plotts;p l A t s;plɑts
toupee;t u p eI;tup?
kruszewski;k r\ @ S E f s k i:;kɹəʃɛfskiː
perfume;p 3:r f j u m;pɜ:rfjum
ephemeral;i f E m 3:r @ l;ifɛmɜ:rəl
cannizzaro;k A n i: t s A r\ @U;kɑniːtsɑɹoʊ
robins';r\ A b @ n z;ɹɑbənz
milln;m I l n;mɪln
wei;w eI;w?
reist;r\ i: i s t;ɹiːist
meta;m i: 4 @;miːɾə
ga(3);dZ O: r\ dZ @;?Oːɹ?ə
fireweed;f aI 3:r w i: d;f?ɜ:rwiːd
pronouncements;p r\ @ n aU n s m @ n t s;pɹən?nsmənts
daley;d eI l i:;d?liː
ketchikan;k E tS i k { n;kɛ?ikæn
tufted;t V f t @ d;tʌftəd
cramp;k r\ { m p;kɹæmp
mispronounce;m i s p r\ @ n aU n s;mispɹən?ns
bateman;b eI t m @ n;b?tmən
castilleja;k A s t i: l eI j @;kɑstiːl?jə
incapacity;i n k @ p { s @ 4 i:;inkəpæsəɾiː
jovial;dZ @U v i: @ l;?oʊviːəl
debby;d E b i:;dɛbiː
ferrigno;f 3:r i: g n @U;fɜ:riːgnoʊ
rehearings;r\ i: h I r\ i N z;ɹiːhɪɹiŋz
denault;d i n @U;dinoʊ
stopover;s t A p @U v 3:r;stɑpoʊvɜ:r
lieutenant;l u t E n @ n t;lutɛnənt
muse;m j u z;mjuz
nusser;n V s 3:r;nʌsɜ:r
riggings;r\ I g i N z;ɹɪgiŋz
refrigerators;r\ i f r\ I dZ 3:r eI 4 3:r z;ɹifɹɪ?ɜ:r?ɾɜ:rz
demotion;d i m @U S @ n;dimoʊʃən
chretien;S r\ i t i: n;ʃɹitiːn
lifting;l I f t i N;lɪftiŋ
grumblings;g r\ V m b @ l i N z;gɹʌmbəliŋz
barbarino;b A r\ b A r\ i: n @U;bɑɹbɑɹiːnoʊ
nandi;n A n d i:;nɑndiː
carruthers;k 3:r V D 3:r z;kɜ:rʌðɜ:rz
logar;l @U g 3:r;loʊgɜ:r
crowns;k r\ aU n z;kɹ?nz
jarema;j 3:r i: m @;jɜ:riːmə
reformers';r\ i f O: r\ m 3:r z;ɹifOːɹmɜ:rz
pesavento;p E s @ v E n t @U;pɛsəvɛntoʊ
hadson;h { d s @ n;hædsən
ceramic;s 3:r { m i k;sɜ:ræmik
veney;v E n i:;vɛniː
kojima;k @ j aI m @;kəj?mə
improve;i m p r\ u v;impɹuv
reserve's(2);r\ i: z 3:r v z;ɹiːzɜ:rvz
reverie;r\ E v 3:r i:;ɹɛvɜ:riː
indicted;i n d aI 4 @ d;ind?ɾəd
charmaine;S A r\ m eI n;ʃɑɹm?n
wycoff;w I k O: f;wɪkOːf
beshara;b i S A r\ @;biʃɑɹə
february;f E b j @ w E r\ i:;fɛbjəwɛɹiː
krajina(2);k r\ aI i: n @;kɹ?iːnə
slutzky;s l V t s k i:;slʌtskiː
broomall;b r\ u m @ l;bɹuməl
scholten;S @U l t @ n;ʃoʊltən
cap's;k { p s;kæps
adaptable;@ d { p t @ b @ l;ədæptəbəl
tso(2);s @U;soʊ
rematch;r\ i: m { tS;ɹiːmæ?
groesbeck;g r\ @U s b E k;gɹoʊsbɛk
pedaling(2);p E d l i N;pɛdliŋ
ricker;r\ I k 3:r;ɹɪkɜ:r
zayas;z eI A z;z?ɑz
timor;t i: m O: r\;tiːmOːɹ
transmutability;t r\ { n z m u 4 @ b I l i 4 i:;tɹænzmuɾəbɪliɾiː
whitenight;w aI t n aI t;w?tn?t
nilan;n i: l A n;niːlɑn
manually;m { n j u @ l i:;mænjuəliː
reason;r\ i: z @ n;ɹiːzən
